"Site ID","Site Name","Batch ID","Trx","Gross","Fee","Net"
"681218","Catharpin","0723FM","7/23/2017","$262.00","($41.32)","$220.68"
"858901","Battlefield BP","0723FM","7/23/2017","$0.0","$0.0","$0.0"
"858902","EE Wine","0723FM","7/23/2017","$0.0","$0.0","$0.0"
"858903","Rixlew","0723FM","7/23/2017","$221.99","($8.92)","$213.07"
"858904","Cedar Run","0723FM","7/23/2017","$124.72","($17.02)","$107.70"
"858905","Marshall","0723FM","7/23/2017","$754.00","($52.36)","$701.64"
"858906","Old Town","0723FM","7/23/2017","$685.24","($19.33)","$665.91"
"858907","Godwin","0723FM","7/23/2017","$1777.84","($10.48)","$1767.36"
"858908","Sudley","0723FM","7/23/2017","$0.0","($1.67)","($1.67)"
"858909","Gateway","0723FM","7/23/2017","$1627.68","($37.33)","$1590.35"
"858910","Opal","0723FM","7/23/2017","$204.90","($15.95)","$188.95"
"858911","Bealeton","0723FM","7/23/2017","$37.24","($33.45)","$3.79"
"858912","Woodbine","0723FM","7/23/2017","$247.36","($42.79)","$204.57"
"858913","Pro Service","0723FM","7/23/2017","$127.74","($10.12)","$117.62"
